HSK Level,Word,Pronunciation,Definition
3,?,bao3,to eat till full; satisfied
5,??,bao3 bei4,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character
5,??,bao3 chi2,to keep; to maintain; to hold; to preserve
5,??,bao3 cun2,to conserve; to preserve; to keep; to save (a file etc) (computing)
6,??,bao3 guan3,to assure; to guarantee; to take care of; to safeguard; certainly; surely
5,??,bao3 gui4,valuable; precious; value; treasure; set store by
6,??,bao3 he2,saturation
4,??,bao3 hu4,to protect; to defend; to safeguard; protection; CL:?|?[zhong3]
6,????,bao3 jing1 cang1 sang1,having lived through many changes
5,??,bao3 liu2,to retain; to continue to have; to preserve; to maintain; to reserve; reservations; to hold back (approval or acceptance)
6,??,bao3 mi4,to keep sth confidential; to maintain secrecy
6,??,bao3 mu3,nanny; housekeeper
6,??,bao3 shou3,(politically) conservative; to guard; to keep
6,??,bao3 wei4,to defend; to safeguard
5,??,bao3 xian3,insurance; to insure; safe; secure; be sure; be bound to; CL:?[fen4]
6,??,bao3 yang3,to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance
6,??,bao3 zhang4,to ensure; to guarantee; to safeguard
4,??,bao3 zheng4,guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:?|?[ge4]
6,??,bao3 zhong4,take care of oneself
4,?,bao4,to hold; to carry (in one's arms); to hug or embrace; surround; cherish
6,??,bao4 chou2,to revenge (oneself); to avenge
6,??,bao4 chou5,reward; remuneration
6,??,bao4 da2,to repay; to requite
6,??,bao4 dao4,report for duty; check in; register
4,??,bao4 dao4,"report; CL:?[pian1],?[fen4]"
6,??,bao4 fa1,to break out; to erupt; to explode; to burst out
6,??,bao4 fu4,to make reprisals; to retaliate; revenge; retaliation
6,??,bao4 fu4,aspiration; ambition
5,??,bao4 gao4,"to inform; report; make known; speech; talk; lecture; CL:?[pian1],?[fen4],?|?[ge4],?[tong4]"
6,??,bao4 guang1,exposure (e.g. of photosensitive material); to expose (a scandal to the public)
6,??,bao4 li4,violence; (use) force; violent
6,??,bao4 lu4,to expose; to reveal; to lay bare
4,??,bao4 ming2,to sign up; to enter one's name; to apply; to register; to enroll; to enlist
4,??,bao4 qian4,sorry; We apologize!; to feel apologetic; to regret
6,??,bao4 she4,general office of a newspaper; newspaper office; CL:?[jia1]
6,??,bao4 xiao1,submit an expense account; apply for reimbursement; write-off; wipe out
6,??,bao4 yuan4,to complain; to grumble
6,??,bao4 zha4,explosion; to explode; to blow up; to detonate
2,??,bao4 zhi3,"newspaper; newsprint; CL:?[fen4],?[qi1],?|?[zhang1]"
6,??,bei1 ai1,grieved; sorrowful
6,??,bei1 bi3,base; mean; contemptible; despicable
6,??,bei1 can3,miserable; tragic
5,??,bei1 guan1,pessimistic
1,??,bei1 zi5,"cup; glass; CL:?|?[ge4],?[zhi1],?[zhi1]"
3,??,bei3 fang1,north; the northern part a country; China north of the Yellow River
6,??,bei3 ji2,the North Pole; the Arctic Pole; the north magnetic pole
1,??,Bei3 jing1,"Beijing, capital of People's Republic of China; Peking; PRC government"
5,?,bei4,"(two, three etc) -fold; times (multiplier); double; to increase or multiply"
4,?,bei4,by (indicates passive-voice sentences or clauses); quilt; to cover (literary)
3,?,bei4,the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory
6,??,bei4 dong4,passive
6,??,bei4 fen4,backup
6,??,bei4 gao4,defendant
5,??,bei4 jing3,background; backdrop; context; CL:?|?[zhong3]
6,??,bei4 ke2,"shell; conch; cowry; mother of pearl; hard outer skin; alternative reading bei4 qiao4, mostly written"
6,??,bei4 pan4,to betray
6,??,bei4 song4,recite; repeat from memory
6,???,bei4 wang4 lu4,memorandum; aide-memoire; memorandum book
5,??,bei4 zi5,quilt; CL:?[chuang2]
6,??,ben1 bo1,rush about; be busy running about
6,??,ben1 chi2,"to run quickly; to travel quickly; to move fast; Mercedes-Benz, German car make"
1,?,ben3,"roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally"
5,??,ben3 ke1,undergraduate course; undergraduate (adjective)
4,??,ben3 lai2,original; originally; at first; it goes without saying; of course
5,??,ben3 ling3,"skill; ability; capability; CL:?|?[xiang4],?|?[ge4]"
6,??,ben3 neng2,instinct
6,??,ben3 qian2,capital
6,??,ben3 ren2,the person himself; I (humble form used in speeches); oneself; myself; in person; personal
6,??,ben3 shen1,itself; in itself; per se
6,??,ben3 shi5,ability; skill; source material; original story
6,??,ben3 zhe5,based on...; in conformance with..; taking as one's main principle
5,??,ben3 zhi4,essence; nature; innate character; intrinsic quality
4,?,ben4,stupid; foolish; silly; slow-witted; clumsy
6,??,ben4 zhuo1,clumsy; awkward; stupid
6,??,beng1 kui4,to collapse; to crumble; to fall apart
6,?,beng2,need not; (contraction of ? and ?)
6,?,beng4,to jump; to bounce; to hop
6,??,beng4 fa1,to burst out; to gush; to spurt
6,??,bi1 po4,to force; to compel; to coerce
6,??,bi2 ti4,nasal mucus; snivel
3,??,bi2 zi5,"nose; CL:?|?[ge4],?|?[zhi1]"
2,?,bi3,"(particle used for comparison and ""-er than""); to compare; to contrast; to gesture (with hands); ratio"
5,??,bi3 ci3,each other; one another
6,??,bi3 fang5,analogy; instance
4,???,bi3 ji4 ben3,notebook; CL:?[ben3]
3,??,bi3 jiao4,compare; contrast; fairly; comparatively; relatively; quite; rather
5,??,bi3 li4,proportion; scale
5,??,bi3 ru2,for example; for instance; such as
3,??,bi3 sai4,"competition (sports etc); match; CL:?|?[chang3],?[ci4]"
6,??,bi3 yu4,metaphor; analogy; figure of speech; figuratively
6,??,bi3 zhong4,proportion; specific gravity
6,?,bi4,arm
6,??,bi4 bing4,malady; evil; malpractice; drawback; disadvantage
6,??,bi4 ding4,be bound to; be sure to
6,??,bi4 duan1,malpractice; abuse; corrupt practice
5,??,bi4 jing4,after all; all in all; when all is said and done; in the final analysis
5,??,bi4 mian3,to avert; to prevent; to avoid; to refrain from
5,??,bi4 ran2,inevitable; certain; necessity
6,??,bi4 se4,stop up; close up; hard to get to; out of the way; inaccessible; unenlightened; blocking
5,??,bi4 xu1,to need; to require; essential; indispensable
3,??,bi4 xu1,to have to; must; compulsory; necessarily
5,??,bi4 yao4,necessary; essential; indispensable; required
4,??,bi4 ye4,graduation; to graduate; to finish school
6,??,bi4 yu4,jasper
6,??,bian1 ce4,to spur on; to urge on; to encourage sb (e.g. to make progress)
5,??,bian1 ji2,to edit; to compile; editor; compiler
6,??,bian1 jiang1,border area; borderland; frontier; frontier region
6,??,bian1 jie4,boundary; border
6,??,bian1 jing4,frontier; border
5,??,bian1 pao4,firecrackers; a string of small firecrackers; CL:?[mei2]
6,??,bian1 yuan2,edge; fringe; verge; brink; periphery; marginal; borderline
6,?? ,bian1 zhi1,to weave; to knit; to plait; to braid
6,?,bian3,"flat; (old form of character ?, horizontal tablet with inscription)"
6,??,bian3 di1,to belittle; to disparage; to play down; to demean; to degrade; to devalue
6,??,bian3 yi4,derogatory sense; negative connotation
5,?,bian4,ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to ?: then; in that case; even if; soon afterwards
4,?,bian4,a time; everywhere; turn; all over; one time
6,??,bian4 bu4,to cover the whole (area); to be found throughout
6,??,bian4 gu4,an unforeseen event; accident; misfortune
6,??,bian4 hu4,to speak in defense of; to argue in favor of; to defend; to plead
3,??,bian4 hua4,change; variation; to change; to vary; CL:?|?[ge4]
6,??,bian4 jie3,to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself
6,??,bian4 li4,convenient; easy; facilitate
5,??,bian4 lun4,"debate; argument; to argue over; CL:?|?[chang3],?[ci4]"
6,??,bian4 qian1,changes; vicissitudes
6,??,bian4 ren4,to recognize; to identify
6,??,bian4 tiao2,"(informal) note; CL:?|?[zhang1],?|?[ge4]"
6,??,bian4 yu2,easy to; convenient for
6,??,bian4 zheng4,investigate; dialectical
6,??,bian4 zhi4,to degenerate; to go bad; to deteriorate; metamorphosis
6,??,bian4 zi5,"plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent; handle; CL:?[gen1],?|?[tiao2]"
6,??,biao1 ben3,specimen; sample; the root cause and symptoms of a disease
5,??,biao1 dian3,punctuation; a punctuation mark; to punctuate; CL:?|?[ge4]
6,??,biao1 ji4,sign; mark; symbol; to mark up
6,??,biao1 sheng1,to rise rapidly; to soar
6,??,biao1 ti2,title; heading; headline; caption; subject
5,??,biao1 zhi4,sign; mark; symbol; symbolize; to indicate; to mark
4,??,biao1 zhun3,(an official) standard; norm; criterion; CL:?|?[ge4]
4,??,biao3 da2,to voice (an opinion); to express; to convey
4,??,biao3 ge2,"form; table; CL:?|?[zhang1],?[fen4]"
6,??,biao3 jue2,decide by vote; vote
5,??,biao3 mian4,surface; face; outside; appearance
5,??,biao3 ming2,to make clear; to make known; to state clearly; to indicate; known
5,??,biao3 qing2,(facial) expression; to express one's feelings; expression
3,??,biao3 shi4,to express; to show; to say; to state; to indicate; to mean
6,??,biao3 tai4,to declare one's position; to say where one stands
5,??,biao3 xian4,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc)
3,??,biao3 yan3,play; show; performance; exhibition; to perform; to act; to demonstrate; CL:?|?[chang3]
4,??,biao3 yang2,to praise; to commend
6,??,biao3 zhang1,cite (in dispatches); commend
6,?,bie1,to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (one's breath)
2,?,bie2,to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin
6,??,bie2 ren5,other people; others; other person
6,??,bie2 shu4,"villa; CL:?[zhuang4],?[zuo4]"
6,??,bie2 zhi4,unusual; unique
6,??,bie4 niu5,awkward; difficult; uncomfortable; not agreeing; at loggerheads; gauche; awkward (writing or speech)
3,??,bin1 guan3,"guesthouse; CL:?|?[ge4],?[jia1]"
6,??,bin1 lin2,on the verge of; close to
6,??,bing1 bao2,"hail; hailstone; CL:?|?[chang2],?[li4]"
3,??,bing1 xiang1,"icebox; freezer cabinet; refrigerator; CL:?|?[tai2],?|?[ge4]"
5,?,bing3,"third of 10 heavenly stems ???; third in order; letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc; propyl"
4,??,bing3 gan1,"biscuit; cracker; cookie; CL:?[pian4],?|?[kuai4]"
6,??,bing4 cun2,to exist at the same time; to coexist
5,??,bing4 du2,virus
6,??,bing4 fei1,really isn't
6,??,bing4 lie4,to stand side by side; to be juxtaposed
4,??,bing4 qie3,and; besides; moreover; furthermore; in addition
6,??,bo1 da3,to call; to dial
6,??,bo1 fang4,to broadcast; to transmit
6,??,bo1 lang4,wave
5,??,bo1 li5,"glass; nylon; plastic; CL:?|?[zhang1],?|?[kuai4]"
6,????,bo1 tao1 xiong1 yong3,tumultuous situations
6,??,bo1 xue1,to exploit; exploitation
6,??,bo1 zhong4,to sow seeds; sowing; seed
6,????,bo2 da4 jing1 shen1,wide-ranging and profound; broad and deep
6,??,bo2 dou4,to wrestle; to fight; to struggle
6,???,bo2 lan3 hui4,exposition; international fair
6,??,bo2 mu3,wife of father's elder brother; aunt; (polite form of address for a woman who is about the age of one's mother); CL:?|?[ge4]
6,??,bo2 ruo4,weak; frail
4,??,bo2 shi4,doctor; court academician (in feudal China); Ph.D.
5,???,bo2 wu4 guan3,museum
5,??,bo2 zi5,neck; CL:?|?[ge4]
6,??,bu3 chang2,compensate; make up
5,??,bu3 chong1,to replenish; to supplement; to complement; additional; supplementary; CL:?|?[ge4]
6,??,bu3 jiu4,remedy
6,??,bu3 ru3,breast feeding; to suckle; to nurse
6,??,bu3 tie1,to subsidize; subsidy; allowance
6,??,bu3 zhuo1,to catch; to seize; to capture
1,?,bu4,(negative prefix); not; no
5,?,bu4,cloth; to declare; to announce; to spread; to make known
5,??,bu4 an1,unpeaceful; unstable; uneasy; disturbed; restless; worried
5,??,bu2 bi4,need not; does not have to
4,??,bu2 dan4,not only (... but also...)
4,???,bu4 de2 bu4,have no choice or option but to; cannot but; have to; can't help it; can't avoid
5,???,bu4 de2 liao3,desperately serious; disastrous; extremely; exceedingly
6,???,bu4 de2 yi3,act against one's will; have no alternative but to; have to; to have no choice; must
5,??,bu2 duan4,unceasing; uninterrupted; continuous; constant
6,??,bu4 fa2,pace; (measured) step; march
6,??,bu4 fang2,there is no harm in; might as well
5,??,bu4 fen5,part; share; section; piece; CL:?|?[ge4]
6,???,bu4 gan3 dang1,lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me
6,??,bu4 gao4,posting on a bulletin board; notice; bulletin; to announce
6,??,bu2 gu4,in spite of; regardless of
4,??,bu4 guan3,"no matter (what, how); regardless of; no matter"
4,??,bu2 guo4,only; merely; no more than; but; however; anyway (to get back to a previous topic)
5,????,bu4 hao3 yi4 si5,to feel embarrassed; to be ill at ease; to find it embarrassing (to do sth)
5,???,bu2 jian4 de5,not necessarily; not likely
6,??,bu4 jin1,can't help (doing sth); can't refrain from
4,??,bu4 jin3,not only (this one); not just (...) but also
6,??,bu4 ju2,arrangement; composition; layout; opening (chess jargon)
6,??,bu4 kan1,cannot bear; cannot stand; utterly; extremely
6,????,bu4 ke3 si1 yi4,inconceivable (idiom); unimaginable; unfathomable
1,???,bu2 ke4 qi5,you're welcome; impolite; rude; blunt; don't mention it
6,??,bu2 kui4,be worthy of; deserve to be called; prove oneself to be
6,??,bu2 liao4,unexpectedly; to one's surprise
5,??,bu4 men2,department; branch; section; division; CL:?|?[ge4]
5,??,bu4 mian3,unavoidable
5,???,bu2 nai4 fan2,impatience; impatient
5,??,bu4 ran2,not so; no; or else; otherwise; if not
5,??,bu4 ru2,not equal to; not as good as; inferior to; it would be better to
6,??,bu4 shi2,frequently; often; at any time
6,??,bu4 shu3,to dispose; to deploy; deployment
6,??,bu4 wei4,position; place
6,??,bu4 xi1,not stint; not spare; not hesitate (to do sth); not scruple (to do sth)
6,????,bu4 xiang1 shang4 xia4,equally matched; about the same
6,???,bu2 xiang4 hua4,unreasonable; shocking; outrageous
6,????,bu2 xie4 yi1 gu4,to disdain as beneath contempt
6,????,bu4 yan2 er2 yu4,it goes without saying; it is self-evident
5,???,bu2 yao4 jin3,unimportant; not serious; it doesn't matter; never mind; it looks all right; but
6,???,bu4 you2 de5,can't help; cannot but
6,????,bu4 ze2 shou3 duan4,by fair means or foul; by hook or by crook; unscrupulously
6,??,bu4 zhi3,incessantly; without end; more than; not limited to
6,??,bu4 zhi4,to put in order; to arrange; to decorate; to fix up; to deploy
5,??,bu4 zhou4,step; move; measure
5,??,bu4 zu2,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not
4,?,ca1,to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish
4,?,cai1,to guess
3,?,cai2,ability; talent; endowment; gift; an expert; only (then); only if; just
5,??,cai2 chan3,property; CL:?|?[bi3]
6,??,cai2 feng5,tailor; dressmaker
6,??,cai2 fu4,wealth; riches
6,??,cai2 gan4,ability; competence
4,??,cai2 liao4,"material; data; makings; stuff; CL:?|?[ge4],?|?[zhong3]"
6,??,cai2 pan4,"judgment; to referee; umpire; judge; referee; CL:?|?[ge4],?[wei4],?[ming2]"
6,??,cai2 wu4,financial affairs
6,??,cai2 yuan2,to cut staff; to lay off employees
6,??,cai2 zheng4,finances (public); financial
5,?,cai3,to step on; to tread; to stamp; to press a pedal; to pedal (a bike)
5,??,cai3 fang3,to interview; to gather news; to hunt for and collect; to cover
6,??,cai3 gou4,to procure (for an enterprise etc); to purchase
5,??,cai3 hong2,rainbow
6,??,cai3 ji2,to gather; to collect; to harvest
6,??,cai3 na4,to accept; to adopt
6,??,cai3 piao4,the lottery; lottery ticket
5,??,cai3 qu3,"to adopt or carry out (measures, policies, course of action); to take"
1,?,cai4,"dish (type of food); vegetables; vegetable; cuisine; CL:?|?[pan2],?[dao4]"
3,??,cai4 dan1,"menu; CL:?[fen4],?|?[zhang1]"
4,??,can1 guan1,to look around; to inspect; visit and observe
3,??,can1 jia1,to participate; to take part; to join
5,??,can1 kao3,consultation; reference; to consult; to refer
6,??,can1 mou2,staff officer; give advice
5,??,can1 ting1,"dining-hall; dining-room; restaurant; CL:?|?[jian1],?[jia1]"
5,??,can1 yu4,to participate (in sth)
6,??,can1 zhao4,to consult a reference; to refer to (another document)
5,??,can2 ji2,disabled; handicapped; deformity on a person or animal
6,??,can2 ku4,cruel; cruelty
5,??,can2 kui4,ashamed
6,??,can2 liu2,to remain; left over; surplus; remnant
6,??,can2 ren3,cruel; mean; merciless; ruthless
6,??,can4 lan4,to glitter; brilliant; splendid
6,?,cang1,cabin; the hold of a ship or airplane
6,??,cang1 bai2,pale; wan
6,??,cang1 cu4,all of a sudden; hurriedly
6,??,cang1 ku4,depot; storehouse; warehouse
5,??,cao1 chang3,playground; sports field; drill ground; CL:?|?[ge4]
6,??,cao1 lao2,to work hard; to look after
6,??,cao1 lian4,drill; practice
5,??,cao1 xin1,to worry about
6,??,cao1 zong4,to operate; to control; to rig; to manipulate
6,??,cao1 zuo4,to work; to operate; to manipulate
6,??,cao2 za2,noisy; clamorous
3,?,cao3,"grass; straw; manuscript; draft (of a document); careless; rough; CL:?[ke1],?[zuo3],?[zhu1],?[gen1]"
6,??,cao3 an4,"draft (legislation, proposal etc)"
6,??,cao3 shuai4,careless; negligent; sloppy; not serious
5,?,ce4,book; booklet; classifier for books
6,??,ce4 hua4,to plot; to scheme; to bring about; to engineer; planning; producer; planner
6,??,ce4 liang2,survey; to measure; to gauge; to determine
6,??,ce4 lve4,tactics; to be tactful
6,??,ce4 mian4,lateral side; side; aspect; profile
5,??,ce4 suo3,"toilet; lavatory; CL:?|?[jian1],?|?[chu4]"
5,??,ce4 yan4,"test; to test; CL:?[ci4],?|?[ge4]"
3,?,ceng2,layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.)
6,????,ceng2 chu1 bu4 qiong2,more and more emerge; innumerable succession; breeding like flies (idiom)
6,??,ceng2 ci4,arrangement of ideas; administrative level; level; stage; phase
5,??,ceng2 jing1,once; already; former; previously; ever; (past tense marker used before verb or clause)
5,?,cha1,to insert; stick in; pierce; to take part in; to interfere; to interpose
5,??,cha1 bie2,difference; distinction; diversity; disparity
6,??,cha1 ju4,disparity; gap
5,??,cha1 zi5,fork; CL:?[ba3]
1,?,cha2,"tea; tea plant; CL:?[bei1],?|?[hu2]"
6,??,cha2 huo4,to investigate and capture (a criminal); to ferret out; to hunt down and arrest
6,?,cha4,"fork in road; bifurcation; branch in road, river, mountain range etc; to branch off; to turn off; to diverge; to stray (from the path); to change the subject; to interrupt; to stagger (times)"
3,?,cha4,differ from; short of; to lack; poor
4,???,cha4 bu5 duo1,almost; nearly; more or less
6,??,cha4 na4,an instant (Sanskrit: ksana); split second; the twinkling of an eye
6,??,cha4 yi4,flabbergasted; astonished
5,?,chai1,to tear open; to tear down; to tear apart; to open
6,??,chai2 you2,diesel fuel
6,?,chan1,to assist by the arm; to mix; to support; to sustain
6,?,chan2,slander; defame; misrepresent; to speak maliciously
6,??,chan2 rao4,twisting; to twine; to wind; to pester; to bother
5,??,chan3 pin3,goods; merchandise; product; CL:?|?[ge4]
5,??,chan3 sheng1,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate; to appear; appearance; emergence; generation; production; yield
6,??,chan3 shu4,to expound (a position); to elaborate (on a topic); to treat (a subject)
6,??,chan3 ye4,industry; estate; property; industrial
6,??,chan4 dou3,to shudder; to shiver; to shake; to tremble
6,??,chang1 kuang2,savage; furious
6,??,chang1 sheng4,prosperous
4,?,chang2,to taste; flavor; (past tense marker); already; formerly; ever; once; test
2,?,chang2,length; long; forever; always; constantly
4,??,Chang2 cheng2,the Great Wall
6,??,chang2 huan2,to repay; to reimburse
4,??,Chang2 jiang1,Changjiang river; Yangtze river
6,??,chang2 nian2,a whole year; average year
5,??,chang2 shi2,common sense; general knowledge; CL:?|?[men2]
6,??,chang2 shi4,to try; to attempt; CL:?[ci4]
5,??,chang2 tu2,long distance
6,??,chang2 wu4,routine; everyday business; daily operation (of a company)
6,?,chang3,"threshing floor; classifier for events and happenings: spell, episode, bout"
6,??,chang3 he2,situation; occasion
6,??,chang3 kai1,wide open; to open up
6,??,chang3 mian4,scene; occasion
6,??,chang3 suo3,location; place
6,??,chang4 dao3,to advocate; to initiate; to propose; to be a proponent of (an idea or school of thought)
2,??,chang4 ge1,to sing a song
6,??,chang4 tong1,unimpeded; free-flowing; straight path; unclogged; move without obstruction
6,??,chang4 xiao1,best seller; chart-topping
6,??,chang4 yi4,to suggest; to initiate; proposal; initiative
5,?,chao1,to copy; to plagiarize; to search and seize; to go; to transcribe; to take a shortcut; to search and confiscate
4,??,chao1 guo4,to surpass; to exceed; to outstrip
6,??,chao1 ji2,transcending; high grade; super-; ultra-
6,??,chao1 piao4,"paper money; a bill (e.g. 100 yuan); CL:?|?[zhang1],?[za1]"
3,??,chao1 shi4,supermarket (abbr.); CL:?[jia1]
6,??,chao1 yue4,to surpass; to exceed; to transcend
5,?,chao2,imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards
5,??,chao2 dai4,dynasty; reign (of a king)
6,??,chao2 liu2,tide; current; trend
6,??,chao2 shi1,damp; moist
6,??,chao2 xiao4,jeer; mockery; scoff; sneer; make fun of; laugh at (derogatory)
4,?,chao3,to quarrel; to make a noise; noisy; to disturb by making a noise
5,?,chao3,saute; pan-fry; to fry; fried
